model,source_identifier,rights_statement,visibility,embargo_release_date,visibility_during_embargo,visibility_after_embargo,lease_expiration_date,visibility_during_lease,visibility_after_lease,children,parents,file,remote_files,collection_order,context_statement,contributor,contributor_affiliation,contributor_agent_type,contributor_name_identifier,contributor_orcid,contributor_role,contributor_role_other,creator,date_created,date_end,date_information,date_made_public,date_range_of_outputs,date_start,date_type,description,extent,extent_type,file_access_level,funder_award_number,funder_award_title,funder_award_uri,funder_identifier,funder_identifier_type,funder_name,funder_scheme_uri,geo_east_bound,geo_north_bound,geo_place_name,geo_point_latitude,geo_point_longitude,geo_south_bound,geo_west_bound,identifier_type,identifier_value,item_subtype,keyword,label,license_holder,license_lang,license_rights_identifier,license_rights_identifier_scheme,license_rights_label,license_rights_uri,license_scheme_uri,media_type,media_viewer,note,organisational_unit_name,organisational_unit_pid,organisational_unit_type,place_of_publication,portfolio_identifier,publisher,ref_unit_of_assessment,related_item,relationship_item,relationship_note,relationship_position,relationship_title,relationship_type,research_group,rights,show_pdf_download_button,show_pdf_viewer,title,title_lang,title_type,title_value,transcript_ids
PortfolioArtefact,fp-19-funder,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH/Z507131/1,,,https://ror.org/0505m1554,ROR,Arts and Humanities Research Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 19 funder,,,,
PortfolioArtefact,fp-20-licence,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Dundee,eng,CC-BY-NC-ND-4.0,SPDX,Creative Commons Attribution Non Commercial No Derivatives 4.0 International,https://spdx.org/licenses/CC-BY-NC-ND-4.0.html,https://spdx.org/licenses/,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 20 licence,,,,
PortfolioArtefact,fp-21-org-unit,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School of Art,,School,,,,,,,,,,,,,,,FIELDPROBE 21 org-unit,,,,
PortfolioArtefact,fp-22-org-unit-pid,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School of Art,https://www.sgsah.ac.uk/,School,,,,,,,,,,,,,,,FIELDPROBE 22 org-unit-pid,,,,
PortfolioArtefact,fp-23-identifier,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI,10.1234/example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 23 identifier,,,,
PortfolioArtefact,fp-24-file-access-level,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 24 file-access-level,,,,
PortfolioArtefact,fp-25-show-pdf-flags,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,FIELDPROBE 25 show-pdf-flags,,,,
PortfolioArtefact,fp-26-context-statement,,restricted,,,,,,,,,,,,A sentence with a colon: and a semicolon; to see what happens.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 26 context-statement,,,,
PortfolioArtefact,fp-27-related-item,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://example.org/related,,,,,,,,,,FIELDPROBE 27 related-item,,,,
PortfolioArtefact,fp-28-title-lang-type,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 28 title-lang-type,eng,Main,,
PortfolioLiterature,fp-29-place-of-publication,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dundee, United Kingdom",,,,,,,,,,,,,,FIELDPROBE 29 place-of-publication,,,,
PortfolioItemCollection,fp-30-extent,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 30 extent,,,,
PortfolioItemCollection,fp-31-collection-order,,restricted,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELDPROBE 31 collection-order,,,,
Portfolio,fp-32-portfolio-only-fields,http://rightsstatements.org/vocab/InC/1.0/,restricted,,,,,,,,,,,,,,,,,,,,,,,,,2024/2026,,,,,,,,,,,,,,,,,,,,,,,,alpha|beta|gamma,,,,,,,,,,,,,,,,fieldprobe,University of Dundee,32 - Art and Design,,,,,,,Test group,,,,FIELDPROBE 32 portfolio-only fields,,,,
